"CID","Km"
7639,0.000005
7645,0.64
7649,0.019275
8491,0.20925
8578,0.0075
8579,0.00565
8604,0.0028
8614,0.0033
8620,3.6
8639,0.167
8650,1.10715
8734,1.32
9244,0.011
9276,0.0015
9321,0.0155
9694,0.00036
9762,0.004
9814,8.4
9815,2.7
9817,0.075
9871,0.037
10208,0.05
10216,0.065
10469,0.136
10517,0.22
10538,0.054
10700,0.039
11215,0.3
11434,0.317
11435,0.3155
11437,0.063
11453,0.49
11502,0.093
11504,0.0017
11505,0.1255
11508,0.1
11511,0.74
11516,0.122
11520,16.2
11522,0.00845
11555,0.00022
11632,1.04
11633,0.0194
11634,0.0167
11635,0.0074
11643,0.0026
11700,0.0105
11735,1.73
11807,13.005
11809,0.7
11811,0.31
11821,0.02
11863,0.00079
11894,0.015
11904,0.092
11907,0.26895
12092,0.0363
12096,0.03525
12137,0.02885
12203,0.05
12204,0.005
12205,0.0075
12249,0.004
12626,0.039
12628,0.015
12634,0.008
12640,0.101
12739,1.72
12838,0.14
13431,0.038
13433,0.058
13453,0.0202
13550,0.00305
13747,0.973
14151,0.0035
14177,11.7
14180,0.006
14602,0.1
14818,0.0105
14899,3.035
15025,5.5
15037,0.00014
15488,0.08
15494,0.00587
15499,0.0047
15512,0.06
15519,0.001
15522,0.0052
15525,0.0157
15545,0.048
15557,0.0028
15561,0.071
15566,0.96
15567,0.21
15568,0.16
15606,230.011
15610,0.004
15980,0.0033
15985,0.12
15992,0.0037
15998,3.9
15999,0.0003
16001,0.0031
16014,0.004
16074,0.2855
16075,1.775
16138,0.053
16139,0.0029
16190,0.0435
16239,0.001
16249,0.113
16260,0.014
16312,0.15
16353,0.174
16358,0.13
16422,0.0415
16473,0.01035
16474,0.097
16476,1.2
16633,0.03675
16636,0.0033
16641,4.21
16643,1.2875
16681,0.0083
16695,0.04
16711,0.0046
17206,1.28
17276,0.0005
17339,0.0122
