"ENTRY","DELTAG","UNCERTAINTY","REASON ENERGY COULD NOT BE ESTIMATED"
"R00830",2.16,1.19,
"R00831",5.25,1.09,
"R00832",-5.29,1.26,
"R00833",1.81,0.26,
"R00834",2.9,1.86,
"R00835",-2,1.61,
"R00836",-1.7,0.63,
"R00837",-3.11,0.69,
"R00838",-3.11,0.69,
"R00839",-3.11,0.69,
"R00840",1.68,0.94,
"R00841",-2.32,0.74,
"R00842",3.76,1.08,
"R00844",3.76,1.08,
"R00845",5.22,1.07,
"R00846",-27.95,0.76,
"R00847",-4.5,0.24,
"R00848","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00849","Not calculated","Not calculated","Involves unknown structures"
"R00850",0,2,
"R00851",-3.61,1.18,
"R00853",-1.7,0.63,
"R00854",-1.7,0.63,
"R00855",-9.31,0.75,
"R00856",1.07,0.75,
"R00857",-4.81,0.69,
"R00858",28.26,3.55,
"R00859","Not calculated","Not calculated","Involves unknown structures"
"R00860","Not calculated","Not calculated","Involves unknown structures"
"R00861","Not calculated","Not calculated","Involves unknown structures"
"R00863","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00864",-6.08,0.87,
"R00865","Not calculated","Not calculated","Involves unknown structures"
"R00866",-4.5,0.24,
"R00867",-4.5,0.24,
"R00868",2.01,1.7,
"R00870",2.01,1.7,
"R00871",3.76,1.08,
"R00872",-2.32,0.74,
"R00873","Not calculated","Not calculated","Involves unknown structures"
"R00874",-4.01,2.27,
"R00875",2.01,1.7,
"R00876",-4.5,0.24,
"R00877",-0.89,0.61,
"R00878",-0.89,0.61,
"R00879","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00880",-4.58,2.16,
"R00881",-9.31,0.75,
"R00883",2.5,0.74,
"R00885",1.07,0.75,
"R00887","Not calculated","Not calculated","Involves unknown structures"
"R00888",-13.9,0.68,
"R00889",0,2,
"R00890","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00891","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R00892",2.92,2.04,
"R00893","Not calculated","Not calculated","Charge imbalanced|Involves compounds with unlabeded atoms"
"R00894",-6.35,0.86,
"R00895",0,2,
"R00896",0,2,
"R00897",-12.95,1.05,
"R00899",-0.46,0.85,
"R00900","Not calculated","Not calculated","Involves unknown structures"
"R00901",-3.52,1.2,
"R00903",0,2,
"R00904",-9.8,1.18,
"R00905",2.73,1.3,
"R00906","Not calculated","Not calculated","Charge imbalanced"
"R00907",1,0.35,
"R00908",-1,0.35,
"R00909",-2,0.98,
"R00910",-7.78,0.88,
"R00911",-0.46,0.85,
"R00912",-7.78,0.88,
"R00913",-3.9,1.68,
"R00914",5.76,1.21,
"R00915","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00916","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R00917","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced"
"R00918","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00919",15.89,1.15,
"R00920",-1.06,1.21,
"R00921",3.69,1.23,
"R00922",-7.14,1.62,
"R00923",-3.09,0.54,
"R00924","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R00925",-2.49,1.23,
"R00926",-24.59,1.17,
"R00927",5.25,1.09,
"R00928",-1.54,0.52,
"R00930",1.81,0.26,
"R00931",10.74,1.31,
"R00932",8.97,1.26,
"R00933","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00934",-5.02,0.42,
"R00935",-7.14,1.62,
"R00936",0.59,1.37,
"R00937","Not calculated","Not calculated","Charge imbalanced"
"R00939",0.59,1.37,
"R00940","Not calculated","Not calculated","Charge imbalanced"
"R00941",-9.03,1.82,
"R00942",-6.35,0.86,
"R00943",-0.87,1.49,
"R00944",-5.94,1.49,
"R00945",-0.05,1.83,
"R00946",-6.41,1.27,
"R00947",-2.32,0.74,
"R00948",1.07,0.75,
"R00949",-4.5,0.24,
"R00951",-9.31,0.75,
"R00952",-0.8,0.68,
"R00953",-0.8,0.68,
"R00954",1.07,0.75,
"R00955",0,2,
"R00956",1.07,0.75,
"R00957",-1.52,1.23,
"R00959",0,2,
"R00960",0,2,
"R00961",-6.82,0.72,
"R00962",-4.5,0.24,
"R00963",-2.32,0.74,
"R00964",-4.5,0.24,
"R00965",-1.32,0.73,
"R00966",3.01,0.98,
"R00967",-4.5,0.24,
"R00968",-4.5,0.24,
"R00969",-9.31,0.75,
"R00970",-4.5,0.24,
"R00973",-1.32,0.73,
"R00974",-5.14,1.46,
"R00975",-26.96,1.07,
"R00976","Not calculated","Not calculated","Involves unknown structures"
"R00977",4.75,1.07,
"R00978",4.75,1.07,
"R00979",-10.47,0.82,
"R00980",-92.12,1.37,
"R00982",-2.49,1.23,
"R00983",-132.59,1.88,
"R00984",-14.2,2.26,
"R00985",-39.44,1.78,
"R00986",-44.16,1.63,
"R00987",-12.81,0.56,
"R00988",-0.5,1.01,
"R00989",-4.05,1.29,
"R00990",-0.1,0.66,
"R00991","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R00992","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R00993","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R00994",-3.13,1.24,
"R00995",3.09,0.54,
"R00996",-5.7,0.69,
"R00997",-11.93,1.86,
"R00998",8.93,1.31,
"R00999",-9.65,0.92,
"R01000",6.22,1.1,
"R01001",-1.84,1.26,
"R01003",-2.32,0.74,
"R01004",-6.82,0.72,
"R01005",0,2,
"R01006",-4.81,0.69,
"R01007",0,2,
"R01008",0,2,
"R01009",0,2,
"R01010",-2.32,0.74,
"R01011",-4.5,0.24,
"R01012",-9.11,0.64,
"R01013",-3.61,1.18,
"R01014",5.22,0.54,
"R01015",-1.46,0.3,
"R01016",-10.83,0.63,
"R01018",-4.5,0.24,
"R01019",-55.71,4.52,
"R01020","Not calculated","Not calculated","Charge imbalanced"
"R01021",-4.5,0.24,
"R01022",-26.49,0.74,
"R01023",-3.61,1.18,
"R01025","Not calculated","Not calculated","Involves unknown structures"
"R01026",-3.68,0.84,
"R01027",-4.5,0.24,
"R01028",-16.31,1,
"R01029",-2.14,0.68,
"R01030",-4.81,0.69,
"R01031","Not calculated","Not calculated","Involves groups with unknown energies"
"R01032","Not calculated","Not calculated","Involves groups with unknown energies"
"R01033","Not calculated","Not calculated","Involves groups with unknown energies"
"R01034",3.76,1.08,
"R01036",5.22,1.07,
"R01039",3.76,1.08,
"R01041",5.22,1.07,
"R01043",-2.32,0.74,
"R01044",-3.07,0.74,
"R01045","Not calculated","Not calculated","Involves unknown structures"
"R01046",-10.84,3.54,
"R01047",-9.17,0.6,
"R01048",-10.98,0.62,
"R01049",-4.5,0.24,
"R01050",-4.5,0.24,
"R01051",-4.5,0.24,
"R01052",2.5,0.74,
"R01053",-9.28,0.75,
"R01054",-9.31,0.75,
"R01055",-11.95,0.69,
"R01056",0.62,1.3,
"R01057",0,2,
"R01058",-9.8,1.18,
"R01059",-4.5,0.24,
"R01061",-0.36,1.2,
"R01063",-0.36,1.2,
"R01064",0.75,0.29,
"R01066",1.68,1.27,
"R01067",1.75,1.29,
"R01068",4.31,1.23,
"R01069",4.31,1.23,
"R01070",4.31,1.23,
"R01071",7.68,2.96,
"R01072",10.93,0.92,
"R01073",10.47,0.82,
"R01074",22.1,0.71,
"R01075",-2.49,1.23,
"R01076",-4.72,0.88,
"R01077",-0.46,0.85,
"R01078","Not calculated","Not calculated","Charge imbalanced"
"R01079","Not calculated","Not calculated","Involves unknown structures"
"R01080",-0.73,0.96,
"R01081",0.67,0.65,
"R01082",0.61,0.87,
"R01083",7.34,0.93,
"R01085",-12.81,0.56,
"R01086",7.34,0.93,
"R01087",0,2,
"R01088",8.69,1.31,
"R01089",-5.29,1.26,
"R01090",0,2,
"R01091",0,2,
"R01092",-4.5,0.24,
"R01093","Not calculated","Not calculated","Charge imbalanced"
"R01094",-1.76,1.66,
"R01095","Not calculated","Not calculated","Charge imbalanced"
"R01096",-2,1.61,
"R01097",-1.76,1.66,
"R01098",-39.19,1.77,
"R01099",-26.49,0.74,
"R01100",-3.11,0.69,
"R01101",-3.11,0.69,
"R01103",-3.11,0.69,
"R01104",-3.11,0.69,
"R01105","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01106","Not calculated","Not calculated","Involves unknown structures"
"R01108",0.48,2.24,
"R01109",0,2,
"R01110",0,2,
"R01111",0,2,
"R01112",0.48,2.24,
"R01113",0,2,
"R01115","Not calculated","Not calculated","Involves unknown structures"
"R01117",-3.43,0.74,
"R01118","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01119","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R01120","Not calculated","Not calculated","Involves unknown structures"
"R01121",-7.8,0.94,
"R01122","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R01123",0.66,0.42,
"R01126",-2.32,0.74,
"R01127",-2.58,2.3,
"R01128",-0.73,0.96,
"R01130",1.58,1.56,
"R01131",-4.5,0.24,
"R01132",3.01,0.98,
"R01134",10.46,1.36,
"R01135",-2.59,1.3,
"R01137",0,2,
"R01138",4.61,0.65,
"R01139",-4.5,0.24,
"R01140",-4.5,0.24,
"R01142",-90.04,1.45,
"R01143",-90.04,1.45,
"R01144",1.11,0.84,
"R01145",-13.06,1.12,
"R01146",-37.28,4.49,
"R01147",-2.55,0.43,
"R01148",0,2,
"R01149",-4.26,0.81,
"R01150",-6.35,0.86,
"R01151",-24.02,1.04,
"R01152",2.73,1.3,
"R01153",-10.46,2.37,
"R01154",-5.29,1.26,
"R01155",-1,0.35,
"R01156",-2,0.98,
"R01157",-3.9,1.68,
"R01158",-4.58,2.16,
"R01159",-6.74,2.33,
"R01160",-5.29,1.26,
"R01161",0,2,
"R01163","Not calculated","Not calculated","Charge imbalanced"
"R01164",-7.78,0.88,
"R01166",-0.46,0.85,
"R01167",-3.09,0.54,
"R01168",-0.19,0.89,
"R01169","Not calculated","Not calculated","Involves unknown structures"
"R01171",16.55,1.19,
"R01172",-4.05,1.52,
"R01173",-4.05,1.52,
"R01174",3.69,1.23,
"R01175","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R01176",-2.49,1.23,
"R01177",7.06,1.09,
"R01178","Not calculated","Not calculated","Involves unknown structures"
"R01179",1.54,0.52,
"R01180",10.78,1.28,
"R01181",1.81,0.26,
"R01182",-4.5,0.24,
"R01183",2.3,1.11,
"R01184",-111.68,1.2,
"R01185",-2.32,0.74,
"R01186",-2.32,0.74,
"R01187",-2.32,0.74,
"R01188",-4.36,2.22,
"R01189",-4.36,2.22,
"R01190",-4.36,2.22,
"R01191",-4.36,2.22,
"R01192",-1.7,0.63,
"R01193",-4.81,0.69,
"R01194",-3.11,0.69,
"R01195","Not calculated","Not calculated","Involves unknown structures"
"R01196","Not calculated","Not calculated","Involves unknown structures"
"R01197","Not calculated","Not calculated","Involves unknown structures"
"R01199","Not calculated","Not calculated","Involves unknown structures"
"R01200",-2,0.98,
"R01201",-4.5,0.24,
"R01202",-7.48,1.93,
"R01203",-39.19,1.77,
"R01204",-5.29,1.26,
"R01205",-1.7,0.63,
"R01206","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01207",0,2,
"R01209",-6.75,0.68,
"R01210",-8.14,1.6,
"R01211",4.55,1.24,
"R01212",8.69,1.31,
"R01213",8.93,1.31,
"R01214",0,2,
"R01215",0,2,
"R01216",6.64,0.62,
"R01217","Not calculated","Not calculated","Involves unknown structures"
"R01218",1.92,1.94,
"R01220",1.92,1.94,
"R01221",2.09,2.39,
"R01224",3.79,1.93,
"R01225",-1.47,1.86,
"R01226",-1.47,1.86,
"R01227",-2.32,0.74,
"R01228",-4.5,0.24,
"R01229",3.01,0.98,
"R01230",0.64,1.27,
"R01231",-4.08,1.38,
"R01232",-9.31,0.75,
"R01233",-9.31,0.75,
"R01234",-9.29,2.17,
"R01235","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01236","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R01237","Not calculated","Not calculated","Involves unknown structures"
"R01238",-0.1,0.66,
"R01239",-4.36,2.22,
"R01240",-1.7,0.63,
"R01241",3.68,0.84,
"R01242","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R01243",-16.31,1,
"R01244",-8.48,1.32,
"R01245",-0.73,0.96,
"R01246",-2.43,1.49,
"R01248",-0.99,1.25,
"R01249",-2.43,1.49,
"R01251",-0.99,1.25,
"R01252",-110.08,0.83,
"R01253","Not calculated","Not calculated","Involves unknown structures"
"R01255",0,2,
"R01256",-1.06,1.21,
"R01257","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R01258",9.93,1.34,
"R01259",-21.78,1.09,
"R01260","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01261",-1.24,0.38,
"R01262",0,2,
"R01263",-16,0.82,
"R01264",-15.29,1.18,
"R01265",0,2,
"R01266",6.73,0.8,
"R01267",-6.53,4.97,
"R01268",-4.72,0.88,
"R01269",-3.8,2.35,
"R01270",-3.67,1.02,
"R01271",0.07,1.03,
"R01273",-3.67,1.02,
"R01274",-5.76,1.21,
"R01277",-4.05,1.52,
"R01278",16.55,1.19,
"R01279","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R01280",-2.49,1.23,
"R01281",2.16,1.19,
"R01282","Not calculated","Not calculated","Involves unknown structures"
"R01283",1.76,1.14,
"R01285",-1.84,1.26,
"R01286",-1.84,1.26,
"R01287",-12.95,1.05,
"R01288","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01289",-5.67,1.1,
"R01290",-5.67,1.1,
"R01291",-3.68,1.65,
"R01292",0,2,
"R01293",-9.8,1.18,
"R01294",-9.8,1.18,
"R01295",-95.83,1.31,
"R01296",-95.83,1.31,
"R01297",-95.93,1.39,
"R01298",-95.83,1.31,
"R01299",-95.93,1.39,
"R01300",-2.49,1.23,
"R01301",-5.76,1.21,
"R01302",35.73,1.59,
"R01303","Not calculated","Not calculated","Involves unknown structures"
"R01304",-1.7,0.63,
"R01305",-121.7,0.75,
"R01306","Not calculated","Not calculated","Involves unknown structures"
"R01307","Not calculated","Not calculated","Involves groups with unknown energies"
"R01308",9.49,1.66,
"R01309",-4.29,1.35,
"R01310",-4.81,0.69,
"R01312",-4.81,0.69,
"R01313",-2.14,0.68,
"R01314",-2.14,0.68,
"R01315",-2.14,0.68,
"R01316",-2.14,0.68,
"R01317","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01318",-3.61,1.18,
"R01319",-3.61,1.18,
"R01320",23.87,3.13,
"R01321",-4.5,0.24,
"R01322",-1.06,1.21,
"R01323",-1.54,0.52,
"R01324",1.42,0.44,
"R01325",1.47,0.9,
"R01326",-4.5,0.24,
"R01327",-4.5,0.24,
"R01328",-4.81,0.69,
"R01329",-3.11,0.69,
"R01330",-4.5,0.24,
"R01331","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01332","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01333",-9.8,1.18,
"R01334",-2.32,0.74,
"R01335","Not calculated","Not calculated","Involves unknown structures"
"R01336",-2.5,0.82,
"R01337",-9.8,1.18,
"R01338",-9.8,1.18,
"R01339",-1.24,0.38,
"R01340",-21.78,1.09,
"R01341",-25.49,0.78,
"R01342","Not calculated","Not calculated","Involves unknown structures"
"R01343",-2.24,0.52,
"R01344",1.24,0.38,
"R01345",-1.24,0.38,
"R01346",-1.24,0.38,
"R01347","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01348","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01349",-5.33,2.22,
"R01350","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced|Involves groups with unknown energies"
"R01351",-2.14,0.68,
"R01352",-2.14,0.68,
"R01353",2.63,0.29,
"R01354",22.1,0.71,
"R01355",4.98,0.45,
"R01357",-2.49,1.23,
"R01358",-5.76,1.21,
"R01359",1.54,0.52,
"R01360",0.71,0.4,
"R01361",3.76,1.08,
"R01364",12.81,0.56,
"R01365",0,2,
"R01366",-7.72,0.75,
"R01367",77.66,5.31,
"R01368",-3.61,1.18,
"R01369",-2.14,0.68,
"R01370",6.22,1.1,
"R01371",6.22,1.1,
"R01372",-109.72,0.84,
"R01373",-29.07,1.65,
"R01374","Not calculated","Not calculated","Involves unknown structures"
"R01375",0,2,
"R01376",0,2,
"R01377",-4.09,0.6,
"R01378",4.95,0.73,
"R01381",1.07,0.75,
"R01383","Not calculated","Not calculated","Involves unknown structures"
"R01384",-1.29,0.61,
"R01385",0,2,
"R01386",-2.18,0.96,
"R01387",0,2,
"R01388",6.22,1.1,
"R01390",10.75,1.1,
"R01392",6.22,1.1,
"R01393",-4.09,0.6,
"R01394",-1,0.35,
"R01395",2.97,0.74,
"R01396",-8.98,0.87,
"R01397",-8.98,0.87,
"R01398",-8.98,0.87,
"R01399",-8.98,0.87,
"R01400","Not calculated","Not calculated","Involves unknown structures"
"R01401",-0.73,0.96,
"R01402",1.58,0.97,
"R01403",16.55,1.19,
"R01404",16.55,1.19,
"R01406",-2.49,1.23,
"R01407","Not calculated","Not calculated","Involves unknown structures"
"R01408",0.27,6.46,
"R01409","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves groups with unknown energies"
"R01410",-29.48,5.36,
"R01411",-5.14,1.46,
"R01412",-106.47,0.78,
"R01413","Not calculated","Not calculated","Involves unknown structures"
"R01414",6.33,1.09,
"R01415",6.33,1.09,
"R01416",-12.38,1.71,
"R01417",0.69,0.72,
"R01418",3.9,1.68,
"R01419",-9.8,1.18,
"R01420",-9.8,1.18,
"R01421",-9.45,0.75,
"R01422",-2.49,1.23,
"R01423",-6.64,0.69,
"R01424",-0.46,0.85,
"R01425",-0.46,0.85,
"R01426",9.49,1.66,
"R01427","Not calculated","Not calculated","Atoms imbalanced"
"R01429",-2,1.61,
"R01430",-2,1.61,
"R01431",4.7,1.76,
"R01432",-0.89,0.61,
"R01433","Not calculated","Not calculated","Atoms imbalanced|H imbalanced"
"R01434",8.69,1.31,
"R01437",-3.09,0.54,
"R01438","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01440",-2.66,0.55,
"R01441",-4.5,0.24,
"R01442",-33.71,1.41,
"R01443","Not calculated","Not calculated","Involves unknown structures"
"R01444",-3.11,0.69,
"R01445",0,2,
"R01446",-9.8,1.18,
"R01447",0,2,
"R01448",-16.31,1,
"R01449",0,2,
"R01450",0,2,
"R01451",10.3,1.59,
"R01452","Not calculated","Not calculated","Involves groups with unknown energies"
"R01453","Not calculated","Not calculated","Involves groups with unknown energies"
"R01454",-95.81,1.31,
"R01456",10.3,1.59,
"R01457",17.54,1.16,
"R01459",-30.96,0.84,
"R01460",-3.11,0.69,
"R01461",-3.61,1.18,
"R01462",-2.14,0.68,
"R01463",-96.19,1.36,
"R01465",3.76,1.08,
"R01466",-4.13,0.78,
"R01467",0,2,
"R01468",-4.5,0.24,
"R01469",-24.02,1.04,
"R01470",-4.81,0.69,
"R01471",1.07,0.75,
"R01472",0,2,
"R01473",0,2,
"R01474","Not calculated","Not calculated","Involves unknown structures"
"R01476",-4.5,0.24,
"R01478",-3.11,0.69,
"R01480",-3.11,0.69,
"R01481",2.9,1.86,
"R01482",-0.89,0.61,
"R01483",-1.96,1.87,
"R01484",-7.8,1.34,
"R01485",-3.58,1.13,
"R01486","Not calculated","Not calculated","Involves unknown structures"
"R01487","Not calculated","Not calculated","Involves unknown structures"
"R01488","Not calculated","Not calculated","Involves unknown structures"
"R01489","Not calculated","Not calculated","Involves unknown structures"
"R01490","Not calculated","Not calculated","Involves unknown structures"
"R01491","Not calculated","Not calculated","Involves unknown structures"
"R01492","Not calculated","Not calculated","Atoms imbalanced|H imbalanced|Involves compounds with unlabeded atoms"
"R01493",-14.76,0.77,
"R01494",-14.76,0.77,
"R01495",-4.5,0.24,
"R01496",9.01,1.21,
"R01497",-1.7,0.63,
"R01498",-3.11,0.69,
"R01500",-1.7,0.63,
"R01501","Not calculated","Not calculated","Involves unknown structures"
"R01502",-3.11,0.69,
"R01503",-5.74,0.45,
"R01504",-1.6,0.69,
"R01505",-10.56,1.98,
"R01506",-95.64,1.59,
"R01507",-72.01,1.62,
"R01508","Not calculated","Not calculated","Involves unknown structures"
"R01509",-6.35,0.86,
"R01510",-7.78,0.88,
"R01511",-2.32,0.74,
"R01512",2.63,0.29,
"R01513",6.22,1.1,
"R01514",-4.5,0.24,
"R01515",-9.45,0.75,
"R01516",-2.32,0.74,
"R01517",2.63,0.29,
"R01518",0,2,
"R01519",-5.48,1.42,
"R01520",-2,1.61,
"R01521",-2,1.61,
"R01522",-33.71,1.41,
"R01523",-4.5,0.24,
"R01524",3.76,1.08,
"R01525",3.76,1.08,
"R01526",-4.55,1.19,
"R01528",0.67,1.23,
"R01529",0,2,
"R01530",-1.46,0.3,
"R01532","Not calculated","Not calculated","Involves unknown structures"
"R01533","Not calculated","Not calculated","Involves compounds with unlabeded atoms"
"R01535",0,2,
"R01536","Not calculated","Not calculated","Atoms imbalanced|Charge imbalanced|H imbalanced"
"R01537","Not calculated","Not calculated","Involves unknown structures"
"R01538",-8.17,0.69,
"R01540",-8.17,0.69,
"R01541",-4.5,0.24,
"R01542",3.76,1.08,
"R01543",5.22,1.07,
"R01544",-5.7,0.69,
"R01547",0,2,
"R01548",-4.5,0.24,
"R01549",-4.5,0.24,
"R01550",-0.94,1.2,
