"cid","nH","z","dG0","estimated"
"664","23","-1","-660.541381658014","1"
"664","24","0","-687.45955867202","1"
"664","22","-2","-633.623204644009","1"
"665","10","-4","-2599.07104825641","1"
"665","12","-2","-2671.82196775972","1"
"665","11","-3","-2635.44650800807","1"
"666","13","-1","-666.012050878994","1"
"666","16","2","-738.392006678318","1"
"666","15","1","-711.473829664313","1"
"666","14","0","-684.555652650308","1"
"666","12","-2","-647.46844910768","1"
"668","12","-1","-1800.59","0"
"668","11","-2","-1763.94","0"
"671","10","0","-479.839462754396","1"
"671","9","-1","-452.921285740391","1"
"672","10","-1","-1474.00574671635","1"
"672","9","-2","-1437.63028696469","1"
"673","10","-1","-1486.11","0"
"673","9","-2","-1447.92","0"
"679","7","-1","-1124.31527088587","1"
"679","8","0","-1151.23344789988","1"
"679","6","-2","-1097.39709387187","1"
